country,year,incomeClass,gdpGr,prodTotGr,prodAgGr,prodIndGr,prodServGr,empTotGr,empAgGr,empIndGr,empServGr
Indonesia,2005,LM,5.6925713038347,5.008644947455387,0.5656384466145692,0.26780283015829115,11.645288422410282,0.5153727037940041,2.140331812630232,4.424311064000728,-3.3805765284732767
Indonesia,2006,LM,5.50095178520269,2.482420780434392,5.301027870472783,2.162030353419837,-1.19844011377949,2.8271630124102454,-1.8467993031575438,2.277278329553599,8.631916430709337
Indonesia,2007,LM,6.34502222667234,2.883416636139358,2.217371469292328,0.40170843458304706,4.0395411813214555,3.191435127911624,1.2258812114895437,4.3010176766384784,4.766889182463349
Indonesia,2008,LM,6.01370360009122,3.539353712208371,4.843896870803133,1.4869503076147246,3.9565506580456558,2.2182236820653918,-0.014699019832185358,2.218223063077307,4.523891110549118
Indonesia,2009,LM,4.62887118256315,2.160272701023243,3.1206982707875524,1.2243148258107217,1.6662530567033016,2.3353783524298533,0.8117830113714782,2.335377332115632,4.091136719392806
Indonesia,2010,LM,6.22385418062217,3.8175320384554534,4.508004210462542,0.035087942603423516,4.1097942321598735,2.1652881060716855,-1.437530992167718,4.882451135922587,4.134730436420376
Indonesia,2011,LM,6.1697842077098,4.384476572509121,7.422452127036472,-4.073051357298029,4.168757298586938,2.37805309783604,-3.2353542001036186,10.865354982626913,4.0722563516961
Indonesia,2012,LM,6.03005065305615,3.6507963666504444,5.027681210419736,0.24257041262487916,4.360854071911259,2.1188276148143865,-0.42004861882679717,5.050466678939203,2.3563126458732655
Indonesia,2013,LM,5.55726368891023,3.840663849004154,4.336761243473258,8.548636250333008,1.0316139446358445,1.3079892439036738,-0.1269605398333344,-3.8752129202556125,5.303897982055401
Indonesia,2014,LM,5.02388905199018,3.467760393212239,4.193909315386121,-0.20437424030110488,4.445806122297791,1.5013207152987074,0.04296623142672031,4.4866607295837,1.5013154563975282
"Iran, Islamic Rep.",1992,LM,3.29798191958062,3.357844058032055,NA,NA,NA,-0.28393474542664204,NA,NA,NA
"Iran, Islamic Rep.",1993,LM,-1.47101148218468,-0.2397176260900584,NA,NA,NA,1.5991659048274003,NA,NA,NA
"Iran, Islamic Rep.",1994,LM,-1.6982861190928,-2.4923397610405713,NA,NA,NA,1.6111702556260978,NA,NA,NA
"Iran, Islamic Rep.",1995,LM,2.40104455220116,0.9988575523327131,NA,NA,NA,1.6691534719927403,NA,NA,NA
"Iran, Islamic Rep.",1996,LM,6.35052601874277,4.138646739656041,NA,NA,NA,1.202582740609458,NA,NA,NA
"Iran, Islamic Rep.",1997,LM,1.3503992742996,-5.679818763298488,NA,NA,NA,6.898481483904495,NA,NA,NA
"Iran, Islamic Rep.",1998,LM,2.08001178026433,-2.0644104812759783,NA,NA,NA,4.350903320781177,NA,NA,NA
"Iran, Islamic Rep.",1999,LM,2.00269623253998,-4.017446868487312,NA,NA,NA,5.954343371722059,NA,NA,NA
"Iran, Islamic Rep.",2000,LM,5.84552747578127,1.1404327479452763,NA,NA,NA,4.481720568796257,NA,NA,NA
"Iran, Islamic Rep.",2001,LM,2.39217271208069,-2.3712646246194233,NA,NA,NA,4.530638919870612,NA,NA,NA
"Iran, Islamic Rep.",2002,LM,8.07882927975049,2.1575025807980395,NA,NA,NA,5.8406258156173845,NA,NA,NA
"Iran, Islamic Rep.",2003,LM,8.63929839720177,2.0673923607758167,NA,NA,NA,6.220616980725508,NA,NA,NA
"Iran, Islamic Rep.",2004,LM,4.33666597850471,-3.1230232728955016,NA,NA,NA,8.010534357069837,NA,NA,NA
"Iran, Islamic Rep.",2005,LM,4.20869035607625,3.171804123507182,NA,NA,NA,3.048635774225775,NA,NA,NA
"Iran, Islamic Rep.",2006,LM,5.70425191759425,4.931818859858483,11.262555577478981,-1.868860460607532,6.3791880264567995,1.083598532556339,-5.0550796907218585,5.754130951468945,1.760492956365029
"Iran, Islamic Rep.",2007,LM,9.11616736529923,6.530305188961815,3.515590457822749,2.665121888021643,9.824930199623976,1.1390966266999887,-0.6046895748303476,2.0962511942022752,1.1391053297624387
"Iran, Islamic Rep.",2008,LM,0.923695792130545,3.520958988654349,-14.845657233969312,5.643991886793845,1.4890458109519757,-2.7812979764300394,-9.603656459440046,-2.1736773907024096,0.2365731430334192
"Iran, Islamic Rep.",2009,LM,2.31471061931315,0.23054078177617915,10.035767441315379,0.2951929982996831,-1.3471299989471872,1.03401759102388,-0.3957129491579979,-0.22107309283696913,2.77223859175703
"Iran, Islamic Rep.",2010,LM,6.57737435246462,5.58602230562017,13.255468332800454,4.206033014529291,2.9918749708495227,0.84749116285087,-7.355411679031451,2.1160241202714096,3.619199563026508
"Iran, Islamic Rep.",2011,UM,3.74969048564738,1.7631099389625542,NA,NA,NA,2.495743068077331,NA,NA,NA
"Iran, Islamic Rep.",2012,UM,-6.60868725474589,-8.790068912104063,NA,NA,NA,2.2001139505282428,NA,NA,NA
"Iran, Islamic Rep.",2013,UM,-1.91157505672037,-4.143629989194818,NA,NA,NA,2.3155938135570175,NA,NA,NA
"Iran, Islamic Rep.",2014,UM,4.34334340221696,1.1019698878179334,NA,NA,NA,1.8551025198425288,NA,NA,NA
Iraq,1992,UM,32.5922111963098,32.4309337196588,NA,NA,NA,3.645981147465751,NA,NA,NA
Iraq,1993,LM,30.2898294911572,13.108557399250003,NA,NA,NA,3.9217769614905147,NA,NA,NA
Iraq,1994,LM,3.85453244906617,-0.9954818704455328,NA,NA,NA,4.0757469642431445,NA,NA,NA
